pkfam_index	Subgroup	Group	Uniprot_protein_human_name	Human Alias.2	Uniprot_protein_human_id	Uniprot_protein_mouse_name	Mouse Alias.2	Uniprot_protein_mouse_id	Uniprot_Gene	KRSA	UKA	PTMSEA	KEA3
334	STE	Ser/Thrproteinkinasefamily	TAOK2	HUMAN	Q9UL54	TAOK2	MOUSE	Q6ZQ29	TAOK2	TAO	Not Found By Jake	Not found by Jake	Not found
335	STE	Ser/Thrproteinkinasefamily	TAOK3	HUMAN	Q9H2K8	TAOK3	MOUSE	Q8BYC6	TAOK3	TAO	Not Found By Jake	Not found by Jake	Not found
551	Other	Other	TLK2	HUMAN	Q86UE8	TLK2	MOUSE	O55047	TLK2	TLK	Not Found By Jake	Not found by Jake	Not found
143	CAMK	Ser/Thrproteinkinasefamily	TRIB1	HUMAN	Q96RU8	TRIB1	MOUSE	Q8K4K4	TRIB1	N/A	Not Found By Jake	Not found by Jake	Not found
144	CAMK	Ser/Thrproteinkinasefamily	TRIB2	HUMAN	Q92519	TRIB2	MOUSE	Q8K4K3	TRIB2	N/A	Not Found By Jake	Not found by Jake	Not found
588	Atypical:	Alpha-typeproteinkinasefamily	TRPM6	HUMAN	Q9BX84	TRPM6	MOUSE	Q8CIR4	TRPM6	N/A	Not Found By Jake	Not found by Jake	Not found
147	CAMK	Ser/Thrproteinkinasefamily	TSSK1	HUMAN	Q9BXA7	TSSK1	MOUSE	Q61241	TSSK1B	N/A	Not Found By Jake	Not found by Jake	Not found
153	CAMK	Ser/Thrproteinkinasefamily				TSSK5	MOUSE	Q8C1R0	Tssk5	N/A	Not Found By Jake	Not found by Jake	Not found
151	CAMK	Ser/Thrproteinkinasefamily	TSSK6	HUMAN	Q9BXA6	TSSK6	MOUSE	Q925K9	TSSK6	N/A	Not Found By Jake	Not found by Jake	Not found
557	Other	Other	ULK3	HUMAN	Q6PHR2	ULK3	MOUSE	Q3U3Q1	ULK3	ULK	Not Found By Jake	Not found by Jake	Not found
558	Other	Other	ULK4	HUMAN	Q96C45	ULK4	MOUSE	Q3V129	ULK4	ULK	Not Found By Jake	Not found by Jake	Not found
